region,actors,problem,description,timeline,conflict_type,link
"['Gaza', 'Israel']","['UN', 'Anera', 'Hamas']",refugees,"Recently, the UN's World Food Programme and Unrwa, the UN agency for Palestinian refugees, said they had used up all their stocks of food aid.",Unknown,border war,https://www.bbc.com/news/articles/cx2vz02e7g8o
"['Gaza', 'Israel']","['UN', 'Anera', 'Hamas']",malnutrition,"Many are painfully thin, with new warnings of acute malnutrition in Gaza - especially among the young.",Unknown,border war,https://www.bbc.com/news/articles/cx2vz02e7g8o
